,Unnamed: 0,videoname,filepath,poi,context,model,label,in_tst,in_ref
0,0,LA_E_2834763,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_2834763.flac,LA_0039,LA_E_2834763,A11,1,1,0
1,1,LA_E_8877452,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_8877452.flac,LA_0014,LA_E_8877452,A14,1,1,0
2,2,LA_E_6828287,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_6828287.flac,LA_0040,LA_E_6828287,A16,1,1,0
3,3,LA_E_6977360,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_6977360.flac,LA_0022,LA_E_6977360,A09,1,1,0
4,4,LA_E_5932896,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_5932896.flac,LA_0031,LA_E_5932896,A13,1,1,0
5,5,LA_E_5849185,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_5849185.flac,LA_0030,LA_E_5849185,-,0,1,1
6,6,LA_E_6163791,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_6163791.flac,LA_0001,LA_E_6163791,A09,1,1,0
7,7,LA_E_4581379,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_4581379.flac,LA_0033,LA_E_4581379,-,0,1,1
8,8,LA_E_8814547,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_8814547.flac,LA_0002,LA_E_8814547,A12,1,1,0
9,9,LA_E_9157999,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_9157999.flac,LA_0048,LA_E_9157999,A18,1,1,0
10,10,LA_E_1611480,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_1611480.flac,LA_0005,LA_E_1611480,A13,1,1,0
11,11,LA_E_6841754,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_6841754.flac,LA_0018,LA_E_6841754,A16,1,1,0
12,12,LA_E_1781840,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_1781840.flac,LA_0023,LA_E_1781840,A15,1,1,0
13,13,LA_E_8872199,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_8872199.flac,LA_0002,LA_E_8872199,A08,1,1,0
14,14,LA_E_1837629,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_1837629.flac,LA_0042,LA_E_1837629,A17,1,1,0
15,15,LA_E_6314733,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_6314733.flac,LA_0039,LA_E_6314733,-,0,1,1
16,16,LA_E_8469141,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_8469141.flac,LA_0042,LA_E_8469141,A08,1,1,0
17,17,LA_E_3379393,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_3379393.flac,LA_0037,LA_E_3379393,-,0,1,1
18,18,LA_E_7783830,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_7783830.flac,LA_0038,LA_E_7783830,A16,1,1,0
19,19,LA_E_8339197,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_8339197.flac,LA_0005,LA_E_8339197,A10,1,1,0
20,20,LA_E_9472752,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_9472752.flac,LA_0043,LA_E_9472752,A13,1,1,0
21,21,LA_E_1425990,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_1425990.flac,LA_0005,LA_E_1425990,A17,1,1,0
22,22,LA_E_9088738,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_9088738.flac,LA_0022,LA_E_9088738,A18,1,1,0
23,23,LA_E_2520601,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_2520601.flac,LA_0047,LA_E_2520601,A14,1,1,0
24,24,LA_E_2355000,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_2355000.flac,LA_0031,LA_E_2355000,A13,1,1,0
25,25,LA_E_7535126,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_7535126.flac,LA_0005,LA_E_7535126,A15,1,1,0
26,26,LA_E_2394352,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_2394352.flac,LA_0018,LA_E_2394352,A17,1,1,0
27,27,LA_E_5884357,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_5884357.flac,LA_0002,LA_E_5884357,A13,1,1,0
28,28,LA_E_8787897,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_8787897.flac,LA_0009,LA_E_8787897,A16,1,1,0
29,29,LA_E_3125426,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_3125426.flac,LA_0014,LA_E_3125426,A17,1,1,0
30,30,LA_E_6320499,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_6320499.flac,LA_0025,LA_E_6320499,A13,1,1,0
31,31,LA_E_8617121,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_8617121.flac,LA_0030,LA_E_8617121,A18,1,1,0
32,32,LA_E_2608310,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_2608310.flac,LA_0035,LA_E_2608310,A11,1,1,0
33,33,LA_E_7203940,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_7203940.flac,LA_0015,LA_E_7203940,A13,1,1,0
34,34,LA_E_8868279,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_8868279.flac,LA_0024,LA_E_8868279,A10,1,1,0
35,35,LA_E_7462445,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_7462445.flac,LA_0017,LA_E_7462445,A14,1,1,0
36,36,LA_E_8844552,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_8844552.flac,LA_0017,LA_E_8844552,A07,1,1,0
37,37,LA_E_9120891,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_9120891.flac,LA_0029,LA_E_9120891,A10,1,1,0
38,38,LA_E_2634822,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_2634822.flac,LA_0024,LA_E_2634822,A17,1,1,0
39,39,LA_E_3757378,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_3757378.flac,LA_0028,LA_E_3757378,-,0,1,1
40,40,LA_E_4550461,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_4550461.flac,LA_0044,LA_E_4550461,A09,1,1,0
41,41,LA_E_4920751,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_4920751.flac,LA_0024,LA_E_4920751,A17,1,1,0
42,42,LA_E_9817776,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_9817776.flac,LA_0029,LA_E_9817776,A10,1,1,0
43,43,LA_E_4557471,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_4557471.flac,LA_0011,LA_E_4557471,A10,1,1,0
44,44,LA_E_1070406,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_1070406.flac,LA_0020,LA_E_1070406,A16,1,1,0
45,45,LA_E_3003752,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_3003752.flac,LA_0037,LA_E_3003752,-,0,1,1
46,46,LA_E_8806575,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_8806575.flac,LA_0026,LA_E_8806575,A12,1,1,0
47,47,LA_E_2417530,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_2417530.flac,LA_0044,LA_E_2417530,A12,1,1,0
48,48,LA_E_5323454,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_5323454.flac,LA_0031,LA_E_5323454,-,0,1,1
49,49,LA_E_2947508,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_2947508.flac,LA_0024,LA_E_2947508,A09,1,1,0
50,50,LA_E_8469160,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_8469160.flac,LA_0016,LA_E_8469160,A13,1,1,0
51,51,LA_E_1027220,ASVSpoof2019/LA/ASVspoof2019_LA_eval/flac/LA_E_1027220.flac,LA_0057,LA_E_1027220,-,0,1,1
