videoname,poi,context,value
LA_E_2834763,asvspoof,eval,0.06439208984375
LA_E_8877452,asvspoof,eval,0.058746337890625
LA_E_6828287,asvspoof,eval,0.0653076171875
LA_E_6977360,asvspoof,eval,0.0655517578125
LA_E_5932896,asvspoof,eval,0.05279541015625
LA_E_5849185,asvspoof,eval,0.0611572265625
LA_E_6163791,asvspoof,eval,0.0982666015625
LA_E_4581379,asvspoof,eval,0.035430908203125
LA_E_8814547,asvspoof,eval,0.050811767578125
LA_E_9157999,asvspoof,eval,0.04876708984375
LA_E_1611480,asvspoof,eval,0.050048828125
LA_E_6841754,asvspoof,eval,0.0517578125
LA_E_1781840,asvspoof,eval,0.0579833984375
LA_E_8872199,asvspoof,eval,0.08203125
LA_E_1837629,asvspoof,eval,0.04315185546875
LA_E_6314733,asvspoof,eval,0.0215606689453125
LA_E_8469141,asvspoof,eval,0.07550048828125
LA_E_3379393,asvspoof,eval,0.0214996337890625
LA_E_7783830,asvspoof,eval,0.060577392578125
LA_E_8339197,asvspoof,eval,0.08465576171875
LA_E_9472752,asvspoof,eval,0.0745849609375
LA_E_1425990,asvspoof,eval,0.0556640625
LA_E_9088738,asvspoof,eval,0.02960205078125
LA_E_2520601,asvspoof,eval,0.057891845703125
LA_E_2355000,asvspoof,eval,0.066162109375
LA_E_7535126,asvspoof,eval,0.05084228515625
LA_E_2394352,asvspoof,eval,0.045318603515625
LA_E_5884357,asvspoof,eval,0.07830810546875
LA_E_8787897,asvspoof,eval,0.0528564453125
LA_E_3125426,asvspoof,eval,0.03631591796875
LA_E_6320499,asvspoof,eval,0.057952880859375
LA_E_8617121,asvspoof,eval,0.043182373046875
LA_E_2608310,asvspoof,eval,0.061553955078125
LA_E_7203940,asvspoof,eval,0.06585693359375
LA_E_8868279,asvspoof,eval,0.053924560546875
LA_E_7462445,asvspoof,eval,0.03765869140625
LA_E_8844552,asvspoof,eval,0.04901123046875
LA_E_9120891,asvspoof,eval,0.0814208984375
LA_E_2634822,asvspoof,eval,0.030029296875
LA_E_3757378,asvspoof,eval,0.029052734375
LA_E_4550461,asvspoof,eval,0.10125732421875
LA_E_4920751,asvspoof,eval,0.0272369384765625
LA_E_9817776,asvspoof,eval,0.072021484375
LA_E_4557471,asvspoof,eval,0.053924560546875
LA_E_1070406,asvspoof,eval,0.03814697265625
LA_E_3003752,asvspoof,eval,0.028076171875
LA_E_8806575,asvspoof,eval,0.058563232421875
LA_E_2417530,asvspoof,eval,0.08349609375
LA_E_5323454,asvspoof,eval,0.031707763671875
LA_E_2947508,asvspoof,eval,0.07574462890625
LA_E_8469160,asvspoof,eval,0.056793212890625
LA_E_1027220,asvspoof,eval,0.07879638671875
LA_E_9328266,asvspoof,eval,0.041290283203125
LA_E_3820322,asvspoof,eval,0.06793212890625
LA_E_4751686,asvspoof,eval,0.05230712890625
LA_E_7655544,asvspoof,eval,0.054168701171875
LA_E_8925219,asvspoof,eval,0.034698486328125
LA_E_8110643,asvspoof,eval,0.06829833984375
LA_E_2775552,asvspoof,eval,0.03802490234375
LA_E_9276097,asvspoof,eval,0.050048828125
LA_E_5246322,asvspoof,eval,0.049041748046875
LA_E_6092883,asvspoof,eval,0.07159423828125
LA_E_7355163,asvspoof,eval,0.046661376953125
LA_E_9804952,asvspoof,eval,0.078125
LA_E_2985346,asvspoof,eval,0.0675048828125
LA_E_8285179,asvspoof,eval,0.0528564453125
